T1,17.19,-8.02,26.23
R1,19.31,-9.37,23.47
T2,19.31,-9.47,20.14
R2,17.93,-9.22,16.99
T3,22.26,-7.83,23.95
R3,20.37,-7.03,26.76
T4,21.01,-7.92,17.38
R4,22.23,-7.95,20.59
T5,22.98,-4.89,27.53
R5,24.33,-5.16,23.97
T6,24.48,-5.47,20.65
R6,23.26,-5.53,17.57
T7,25.38,-1.67,23.86
R7,24.19,-1.61,27.37
T8,24.6,-2.48,17.26
R8,25.49,-2.1,20.5
T9,24.28,1.11,26.78
R9,25.61,0.68,23.3
T10,25.52,0.59,19.92
R10,24.78,0.27,16.65
T11,24.84,3.89,22.73
R11,23.67,4.52,26.55
T12,23.96,3.04,16.17
R12,24.94,4,19.52
T13,21.18,6.6,25.62
R13,22.74,6.14,22.31
T14,22.46,5.91,18.83
R14,21.36,5.41,15.77
T15,19.99,8.09,21.72
R15,18.35,7.27,24.85
T16,18.38,6.79,15.5
R16,19.7,7.34,18.52
CH01,18.25,-8.695,24.85
CH02,19.31,-9.42,21.805
CH03,18.62,-9.345,18.565
CH04,18.78,-7.525,26.495
CH05,20.785,-8.6,23.71
CH06,20.77,-8.71,20.365
CH07,19.47,-8.57,17.185
CH08,21.315,-7.43,25.355
CH09,22.245,-7.89,22.27
CH10,21.62,-7.935,18.985
CH11,21.675,-5.96,27.145
CH12,23.295,-6.495,23.96
CH13,23.355,-6.71,20.62
CH14,22.135,-6.725,17.475
CH15,23.655,-5.025,25.75
CH16,24.405,-5.315,22.31
CH17,23.87,-5.5,19.11
CH18,23.585,-3.25,27.45
CH19,24.855,-3.415,23.915
CH20,24.985,-3.785,20.575
CH21,23.93,-4.005,17.415
CH22,24.785,-1.64,25.615
CH23,25.435,-1.885,22.18
CH24,25.045,-2.29,18.88
CH25,24.945,0.895,25.04
CH26,25.565,0.635,21.61
CH27,25.15,0.43,18.285
CH28,23.975,2.815,26.665
CH29,25.225,2.285,23.015
CH30,25.23,2.295,19.72
CH31,24.37,1.655,16.41
CH32,24.255,4.205,24.64
CH33,24.89,3.945,21.125
CH34,24.45,3.52,17.845
CH35,22.425,5.56,26.085
CH36,23.79,5.015,22.52
CH37,23.7,4.955,19.175
CH38,22.66,4.225,15.97
CH39,21.96,6.37,23.965
CH40,22.6,6.025,20.57
CH41,21.91,5.66,17.3
CH42,19.765,6.935,25.235
CH43,21.365,7.115,22.015
CH44,21.08,6.625,18.675
CH45,19.87,6.1,15.635
CH46,19.17,7.68,23.285
CH47,19.845,7.715,20.12
CH48,19.04,7.065,17.01
